Price,Close,High,Low,Open,Volume
Ticker,ECH,ECH,ECH,ECH,ECH
Date,,,,,
2009-12-14,36.48460006713867,36.63845854116243,36.05647169562102,36.190259897835496,212300
2009-12-15,36.35749816894531,36.51135919678961,36.29060406697977,36.29060406697977,122100
2009-12-16,36.39763259887695,36.79231388627631,36.324047562809014,36.79231388627631,201500
2009-12-17,36.26383972167969,36.337424753416364,35.855779128846144,35.88253778617694,72300
2009-12-18,36.38426208496094,36.46453552928169,35.788895815209024,36.46453552928169,104900
2009-12-21,36.52473831176758,36.544808585118034,36.130056960496304,36.25715933494508,54700
2009-12-22,36.15220260620117,36.47439051012178,36.14548891790929,36.47439051012178,234300
2009-12-23,36.29315948486328,36.373705821047636,35.984396395721724,36.373705821047636,37700
2009-12-24,36.35355758666992,36.56163832536328,36.35355758666992,36.56163832536328,105000
2009-12-28,36.581787109375,36.70260789549542,36.42069187437381,36.45425519536873,47400
2009-12-29,36.74958801269531,37.091911815499174,36.59520648903698,37.091911815499174,32200
2009-12-30,37.1389045715332,37.23958685053499,36.628771806712244,37.051644547980864,47400
2009-12-31,36.77644348144531,37.19260254872057,36.76301866501425,37.19260254872057,39400
2010-01-04,37.6557502746582,37.78999588943239,36.93082805171302,37.300001571950425,91800
2010-01-05,37.81013870239258,37.957806590992966,37.65575456347922,37.83027465071935,122300
2010-01-06,38.42094421386719,38.48135460416107,38.01820742506735,38.10546744671892,118500
2010-01-07,39.32039260864258,39.32039260864258,38.36053989999718,38.40752548205488,653300
2010-01-08,39.85737228393555,39.90435786571703,39.21970752480114,39.40093872332495,336000
2010-01-11,39.99161911010742,40.40777823012419,39.89093425437522,40.40777823012419,361400
2010-01-12,39.884220123291016,40.06545132528832,39.434500243185354,39.72312742853045,266000
2010-01-13,39.87750244140625,40.13256882013748,39.56202567193662,39.91106320058941,229200
2010-01-14,40.125858306884766,40.1392831237246,39.87750559665272,40.092297545046165,246200
2010-01-15,40.300376892089844,40.38763435757609,39.8775041389201,40.13928165642264,275900
2010-01-19,40.575565338134766,40.90446426428856,40.13255679233096,40.46145571848476,154600
